y_true,mu_pred,sigma2,sigma
0.0066290786,0.0043301135,2.1021633e-05,0.0045849355
-0.012701878,0.0028034598,1.0056147e-05,0.003171143
0.0013593566,0.003585905,1.4287907e-05,0.0037799347
-0.009585061,0.0032589764,1.5767215e-05,0.0039707953
-0.015314642,0.004551092,1.5995842e-05,0.00399948
-0.004166313,0.0033472322,1.13539445e-05,0.0033695614
-0.010118367,0.0029738627,6.2226695e-06,0.002494528
0.004787667,0.004432766,6.942863e-06,0.0026349314
0.028154291,0.0030778362,6.9127973e-06,0.0026292198
0.007659844,0.0031209344,1.1097109e-05,0.0033312324
-0.0136380885,0.00376537,1.9531415e-05,0.004419436
-0.0059938338,0.0045335595,9.707324e-06,0.003115658
0.013207606,0.0031377187,1.924335e-05,0.0043867244
0.0113693755,0.0027386495,1.0073575e-05,0.0031738896
0.0010217761,0.0032112407,1.7211487e-05,0.004148673
-0.011317546,0.0033007076,9.038989e-06,0.003006491
-0.008176196,0.004056558,1.3640698e-05,0.0036933315
0.011050156,0.004082542,1.7209542e-05,0.0041484386
-0.009050306,0.003631876,8.669878e-06,0.0029444657
-0.018062107,0.0035533598,8.572245e-06,0.0029278395
-0.0017789925,0.0044466727,1.0889474e-05,0.0032999204
0.0024465905,0.0031021964,1.4548353e-05,0.0038142302
0.012955104,0.0038459192,9.57329e-06,0.0030940734
0.011207275,0.0035939214,1.3715853e-05,0.003703492
0.00513813,0.003736326,5.5697046e-06,0.0023600222
-0.002965752,0.00404476,1.4915052e-05,0.003862001
0.010524878,0.0030567262,7.1552117e-06,0.0026749228
0.0007319597,0.0032949576,3.4938897e-05,0.0059109135
-0.00078143965,0.0035274646,1.3779736e-05,0.0037121067
-0.010645343,0.003630191,8.415511e-06,0.00290095
0.012316353,0.003828489,1.4458047e-05,0.0038023738
-0.0044359188,0.0036312172,1.5054203e-05,0.0038799746
0.00050593895,0.002908119,1.00667085e-05,0.0031728076
-0.007736444,0.0036922079,1.1958915e-05,0.0034581665
-0.023258297,0.004134601,1.2090591e-05,0.0034771527
0.003339828,0.0032566807,1.1846451e-05,0.0034418674
-0.008941598,0.004159164,1.4984455e-05,0.003870976
0.012514328,0.003965,1.0615827e-05,0.0032581938
0.011064087,0.003678158,8.987825e-06,0.0029979702
-0.010688203,0.0034347624,1.3598125e-05,0.0036875636
0.003740609,0.002882024,1.3939051e-05,0.0037335039
-0.0104972655,0.0030713393,1.8669012e-05,0.0043207654
0.0137199545,0.0033591902,7.707502e-06,0.0027762388
-0.0037490162,0.0040554823,1.5261892e-05,0.003906647
-0.004169494,0.0039295983,1.9153355e-05,0.0043764547
0.008140399,0.0031467548,1.0110148e-05,0.0031796459
-0.015568948,0.0041024443,9.383725e-06,0.0030632867
0.004475976,0.003081262,6.448716e-06,0.0025394321
-0.02115515,0.0041040094,1.4665865e-05,0.0038296038
-0.0028576476,0.0044689984,1.636834e-05,0.0040457803
-0.012950595,0.0025623918,1.378918e-05,0.0037133784
0.012783515,0.0046124817,1.8193386e-05,0.004265371
0.017386451,0.003545928,9.792467e-06,0.0031292918
-0.008494868,0.004059735,2.0542904e-05,0.004532428
0.025796155,0.002982443,1.0736666e-05,0.0032766853
-0.0013225923,0.0040859263,2.0718358e-05,0.004551742
0.02896627,0.004671394,9.563865e-06,0.00309255
0.026173394,0.0032148915,3.0218973e-06,0.0017383605
0.0045788307,0.004266371,9.380561e-06,0.0030627702
-0.00811306,0.0040245797,8.093285e-06,0.0028448699
0.0015435582,0.003542508,1.3428128e-05,0.003664441
0.01351212,0.0038659924,9.43174e-06,0.0030711137
0.0138260415,0.003601405,1.0817974e-05,0.0032890688
0.010478451,0.004066132,2.1244854e-05,0.004609214
0.0019813315,0.0032885352,6.419552e-06,0.0025336836
-0.005529824,0.0046034814,1.621559e-05,0.0040268586
-0.091233276,0.003592668,9.103444e-06,0.0030171915
-0.0050224494,0.0035597032,8.458588e-06,0.002908365
-0.08132622,0.0046994085,2.1125965e-05,0.004596299
0.027782008,0.0044175712,1.4767937e-05,0.0038429073
0.043782905,0.0027345284,7.192835e-06,0.0026819461
-0.0068266355,0.002714944,1.5890399e-05,0.003986276
-0.0038105974,0.0042641787,1.2017663e-05,0.0034666501
0.0048463894,0.0034578072,7.6079696e-06,0.0027582548
0.0,0.0040824725,1.343802e-05,0.0036657904
0.0,0.003154962,2.9210798e-06,0.0017091167
-0.014200555,0.0038130777,1.25423085e-05,0.0035415122
-0.0041036494,0.0031024867,1.17341115e-05,0.003425509
-0.011079315,0.0039418335,1.3291427e-05,0.003645741
0.0029169698,0.0027656085,1.1202047e-05,0.0033469459
0.007402986,0.0035904255,5.604816e-06,0.0023674492
-0.021501815,0.002843023,8.59141e-06,0.0029311108
0.006779722,0.0041665267,6.3631114e-06,0.002522521
0.004530085,0.0037483687,1.0378204e-05,0.003221522
0.004530797,0.004095252,1.4072747e-05,0.003751366
-0.00316728,0.0033529198,9.18468e-06,0.0030306235
-0.013687307,0.003426963,4.2400507e-06,0.0020591384
0.013921499,0.0034235723,1.0827915e-05,0.0032905797
-0.008421936,0.0034880454,1.13278775e-05,0.0033656913
0.00047207306,0.003091563,5.9935282e-06,0.0024481684
-0.0010196635,0.0044360934,1.0190227e-05,0.0031922136
0.0,0.003041967,8.197641e-06,0.0028631524
0.019018896,0.004065686,1.0229121e-05,0.0031982996
-0.0061616823,0.0035926464,1.5374579e-05,0.003921043
-0.013404999,0.0036125989,9.920947e-06,0.0031497534
-0.008871259,0.0033702224,1.2928287e-05,0.0035955927
-0.015997458,0.004247201,1.347427e-05,0.0036707316
0.0,0.0036526215,1.2944354e-05,0.0035978262
0.009777422,0.0029462373,8.511081e-06,0.0029173759
-0.0060612154,0.003463259,9.5517635e-06,0.0030905928
0.0024660795,0.0035072085,7.38021e-06,0.0027166542
-0.006601039,0.0034249045,1.4700339e-05,0.003834102
0.02229611,0.0036120093,1.351086e-05,0.0036757123
0.011923141,0.003539127,1.1171042e-05,0.003342311
0.03727122,0.0035744223,1.262559e-05,0.0035532506
-0.0048232665,0.0033401833,1.6714603e-05,0.0040883496
0.00014425688,0.0037728539,8.291989e-06,0.0028795814
-0.016661044,0.0030305176,5.378482e-06,0.0023191555
0.013233121,0.004630484,1.6243703e-05,0.004030348
0.0,0.0035965368,6.2424324e-06,0.002498486
-0.016098462,0.0034807853,3.6350561e-06,0.0019065823
-0.012171657,0.004181609,1.4608206e-05,0.0038220682
