Date,log_return,rolling_vol,kmeans_regime,regime_name,hmm_state,hmm_regime,p_sideways,p_bull,p_bear
2019-07-15,0.0,0.013123025268243195,1,Sideways,1,Bull,0.10877812919112208,0.891157167298544,6.470351177396231e-05
2019-07-16,0.009534375413353616,0.012501792068550312,1,Sideways,0,Sideways,0.8855659508915732,0.11438138401710068,5.2665091155794906e-05
2019-07-17,0.017972064012217636,0.012991257410594922,1,Sideways,1,Bull,0.11273240463222525,0.887238729918107,2.8865450433674354e-05
2019-07-18,0.017481526455289283,0.013355499222942319,1,Sideways,0,Sideways,0.8799590639459113,0.11994226612887203,9.866992660449807e-05
2019-07-19,0.002781435302933406,0.013301812964022719,1,Sideways,1,Bull,0.11823631431578278,0.8817368846392474,2.6801044287316635e-05
2019-07-22,-0.007494899091347355,0.013389049351139262,0,Bear,0,Sideways,0.8767888091942544,0.1231365961649781,7.459464215661363e-05
2019-07-23,0.01441253650749181,0.013628016465884548,1,Sideways,1,Bull,0.12118045690362302,0.8787858310142381,3.3712082992486234e-05
2019-07-24,0.008748059526522103,0.013470889289305272,1,Sideways,0,Sideways,0.8728558876521701,0.12706888856151188,7.522378567067359e-05
2019-07-25,-0.013745074549763148,0.014030692528526605,0,Bear,1,Bull,0.1254142883918342,0.8745274421929646,5.8269415861784754e-05
2019-07-26,0.0077331821654219235,0.013994977094027675,1,Sideways,0,Sideways,0.8680982533468984,0.13182665079859812,7.509585504245151e-05
2019-07-29,0.005197654677334378,0.012117052125518245,1,Sideways,1,Bull,0.13043593127119496,0.8695484800423396,1.5588685153116107e-05
2019-07-30,-0.006668042456718391,0.012240104305060595,1,Sideways,0,Sideways,0.8634403622544929,0.13651088549586768,4.8752250338642004e-05
2019-07-31,-0.005895375007852314,0.012149116663308455,1,Sideways,1,Bull,0.13501014215422824,0.8649729217467109,1.6936099517402472e-05
